,First Name,Last name,university of PhD,university of PhD ID,department of PhD,year of PhD,current university,current university ID,department of current faculty,year faculty started,job title
0,Erin,Chung,Northwestern University,235,,,Johns Hopkins University,244,East Asian Studies,,
1,Joel,Andreas,UCLA,2,,,Johns Hopkins University,244,East Asian Studies,,
2,Rebecca,Brown,University of Minnesota,397,,,Johns Hopkins University,244,East Asian Studies,,
3,Yulia,Frumer,Princeton University,181,,,Johns Hopkins University,244,East Asian Studies,,
4,Marta,Hanson,University of Pennsylvania,415,,,Johns Hopkins University,244,East Asian Studies,,
5,Lingxin,Hao,University of Chicago,122,,,Johns Hopkins University,244,East Asian Studies,,
6,Ho-Fung,Hung,Johns Hopkins University,244,,,Johns Hopkins University,244,East Asian Studies,,
7,Hayang,Kim,Columbia University,246,,,Johns Hopkins University,244,East Asian Studies,,
8,Huei-Ying,Kuo,SUNY-Binghamton,83,,,Johns Hopkins University,244,East Asian Studies,,
9,Tobie,Meyer-Fong,Stanford University,232,,,Johns Hopkins University,244,East Asian Studies,,
10,William,Rowe,Columbia University,246,,,Johns Hopkins University,244,East Asian Studies,,
11,Kellee,Tsai,Columbia University,246,,,Johns Hopkins University,244,East Asian Studies,,
12,Caleb,Carter,UCLA,2,,,Johns Hopkins University,244,East Asian Studies,,
13,Fumiko,Joo,University of Chicago,122,,,Johns Hopkins University,244,East Asian Studies,,
14,Marvin,Ott,The Paul H. Nitze School of Advanced International Studies,461,,,Johns Hopkins University,244,East Asian Studies,,
15,Christopher,Celenza,Duke University,20,,,Johns Hopkins University,244,German and Romance Languages and Literatures,,
16,Pier,Forni,University of California,1,,,Johns Hopkins University,244,German and Romance Languages and Literatures,,
17,Eugenio,Refini,Scuola Normale Superiore di Pisa,462,,,Johns Hopkins University,244,German and Romance Languages and Literatures,,
18,Walter,Stephens,Cornell University,245,,,Johns Hopkins University,244,German and Romance Languages and Literatures,,
19,Bernadette,Wegenstein,Vienna University,463,,,Johns Hopkins University,244,German and Romance Languages and Literatures,,
20,Susan,Weiss,University of Maryland,192,,,Johns Hopkins University,244,German and Romance Languages and Literatures,,
21,Lawrence,Principe,Johns Hopkins University,244,,,Johns Hopkins University,244,German and Romance Languages and Literatures,,
22,Matthew,Roller,University of California,1,,,Johns Hopkins University,244,German and Romance Languages and Literatures,,
23,Alessandro,Zannirato,University of Cape Town,464,,,Johns Hopkins University,244,German and Romance Languages and Literatures,,
24,Wilda,Anderson,Cornell University,245,,,Johns Hopkins University,244,German and Romance Languages and Literatures,,
25,Sara,Miglietti,Scuola Normale Superiore di Pisa ,473,,,Johns Hopkins University,244,German and Romance Languages and Literatures,,
26,Elena,Russo,Princeton University,181,,,Johns Hopkins University,244,German and Romance Languages and Literatures,,
27,Todd,Shepard,Rutgers University-New Brunswick,442,,,Johns Hopkins University,244,German and Romance Languages and Literatures,,
28,Kristin,Cook-Gailloud,Johns Hopkins University,244,,,Johns Hopkins University,244,German and Romance Languages and Literatures,,
29,Stephen,Nichols,Yale University,21,,,Johns Hopkins University,244,German and Romance Languages and Literatures,,
30,Sara,Castro-Klaren,University of California,1,,,Johns Hopkins University,244,German and Romance Languages and Literatures,,
31,William,Egginton,Stanford University,232,,,Johns Hopkins University,244,German and Romance Languages and Literatures,,
32,Eduardo,González,Indiana University Bloomington,284,,,Johns Hopkins University,244,German and Romance Languages and Literatures,,
33,Harry,Sieber,Duke University,20,,,Johns Hopkins University,244,German and Romance Languages and Literatures,,
34,Loreto,Serrano,University of Maryland,192,,,Johns Hopkins University,244,German and Romance Languages and Literatures,,
35,Katrin,Pahl,University of California,1,,,Johns Hopkins University,244,German and Romance Languages and Literatures,,
36,Elisabeth,Strowick,University of Hamburg,465,,,Johns Hopkins University,244,German and Romance Languages and Literatures,,
37,Rochelle,Tobias,University of California,1,,,Johns Hopkins University,244,German and Romance Languages and Literatures,,
38,Eckart,Förster,Oxford University,390,,,Johns Hopkins University,244,German and Romance Languages and Literatures,,
